TimestampUTC,PhaseName
2021-04-20 06:59:00+00:00,Cuarto Creciente
2021-04-23 21:45:00+00:00,Creciente Gibosa
2021-04-27 03:32:00+00:00,Luna Llena
2021-04-30 08:23:00+00:00,Menguante Gibosa
2021-05-03 19:51:00+00:00,Cuarto Menguante
2021-05-07 16:28:00+00:00,Menguante Cóncava
2021-05-11 19:00:00+00:00,Luna Nueva
2021-05-15 22:04:00+00:00,Creciente Cóncava
2021-05-19 19:13:00+00:00,Cuarto Creciente
2021-05-23 06:30:00+00:00,Creciente Gibosa
2021-05-26 11:14:00+00:00,Luna Llena
2021-05-29 17:08:00+00:00,Menguante Gibosa
2021-06-02 07:25:00+00:00,Cuarto Menguante
2021-06-06 07:26:00+00:00,Menguante Cóncava
2021-06-10 10:53:00+00:00,Luna Nueva
2021-06-14 10:55:00+00:00,Creciente Cóncava
2021-06-18 03:55:00+00:00,Cuarto Creciente
2021-06-21 13:17:00+00:00,Creciente Gibosa
2021-06-24 18:40:00+00:00,Luna Llena
2021-06-28 03:08:00+00:00,Menguante Gibosa
2021-07-01 21:11:00+00:00,Cuarto Menguante
2021-07-05 23:40:00+00:00,Menguante Cóncava
2021-07-10 01:17:00+00:00,Luna Nueva
2021-07-13 20:41:00+00:00,Creciente Cóncava
2021-07-17 10:11:00+00:00,Cuarto Creciente
2021-07-20 19:06:00+00:00,Creciente Gibosa
2021-07-24 02:37:00+00:00,Luna Llena
2021-07-27 15:01:00+00:00,Menguante Gibosa
2021-07-31 13:17:00+00:00,Cuarto Menguante
2021-08-04 16:19:00+00:00,Menguante Cóncava
2021-08-08 13:51:00+00:00,Luna Nueva
2021-08-12 04:19:00+00:00,Creciente Cóncava
2021-08-15 15:20:00+00:00,Cuarto Creciente
2021-08-19 01:03:00+00:00,Creciente Gibosa
2021-08-22 12:02:00+00:00,Luna Llena
2021-08-26 05:27:00+00:00,Menguante Gibosa
2021-08-30 07:14:00+00:00,Cuarto Menguante
2021-09-03 08:29:00+00:00,Menguante Cóncava
2021-09-07 00:52:00+00:00,Luna Nueva
2021-09-10 11:04:00+00:00,Creciente Cóncava
2021-09-13 20:40:00+00:00,Cuarto Creciente
2021-09-17 08:19:00+00:00,Creciente Gibosa
2021-09-20 23:55:00+00:00,Luna Llena
2021-09-24 22:33:00+00:00,Menguante Gibosa
2021-09-29 01:58:00+00:00,Cuarto Menguante
2021-10-02 23:36:00+00:00,Menguante Cóncava
2021-10-06 11:06:00+00:00,Luna Nueva
2021-10-09 18:09:00+00:00,Creciente Cóncava
